,form,meaning,KEY-MEANING
5307,Piłka,Piłka,BALL
5308,Pać,Patrz,LOOK
5309,Musik,Mus owocowy,MOUSSE
5310,Boli,Boli,HURTS
5311,Spinka,Spinka,HAIR-CLIP
5312,Posze,Proszę,PLEASE
5313,Pika,Piłka,BALL
5314,Kwiatek,Kwiatek,FLOWER
5315,Nianek,Janek ,PERSON
5316,Majek,Marek,PERSON
5317,Anja,Ania,PERSON
5318,Ogólek,Ogórek,CUCUMBER
5319,Pupa,Pupa,BOTTOM
5320,Pupa,Pupa,BOTTOM
5321,Konik,Konik,HORSE
5322,Gosia,Gosia,PERSON
5323,Ide,Idę,GO
5324,Goście,Goście,GUEST
5325,Oś,Choddź,COME
5326,Gesi,Gęsi,GOOSE
5327,Dinia,Dynia,PUMPKIN
5328,Julek,Julek,PERSON
5329,Leti,Leti kolezanka ze zlobka,FRIEND
5330,Kuk,Kruk,RAVEN
5331,Osiołek,Osiołek,DONKEY
5332,Ziegar,Zegar,CLOCK
5333,Komin,Komin,CHIMNEY
5334,Kluk,Kruk,RAVEN
5335,Gę gę,Ddźwięk gęsi,GOOSE
5336,Kra kra,Ddźwięk kruka,CROW
5337,Petki,Skarpetki,SOCK
5338,Ukać,Szukać,SEARCHING
5339,Siamolok,Samolot,PLANE
5340,Obok,Obok,NEAR
5341,Połuś,Połóż,LAY
5342,Inka,Dziewczynka,GIRL
5343,Kamik,Kamyk,STONE
5344,Lampki,Lampki ,LAMP
5345,Mieci,śmieci,GARBAGE
5346,Dino,Dino imię maskotki,TOY
5347,Plosie,Proszę,PLEASE
5348,Lody,Lody,ICE-CREAM
5349,Pomuś,Pomóż,HELP
5350,Niose,Niosę,CARRY
5351,Kololy,Kolory,COLOR
5352,Komin,Komin,CHIMNEY
5353,Domek,Domek,HOME
5354,Wiesza,Wieża,TOWER
5355,Leżi,Leży,LAYING
5356,Dziewo,Drzewo,TREE
5357,Motol,Motor,MOTORCYCLE
5358,Duzio,Dużo,A-LOT
5359,Kotek,Kotek,CAT
5360,Tsyma,Trzyma,HOLDING
5361,Sama,Sama,BY-MYSELF
5362,Moje,Moje,MY
5363,Zdjęsie,Zdjęcie ,PHOTO
5364,Usiek,Uśmiech,SMILE
5365,Susiuło się,Zepsuło się,BROKEN
5366,Gusik,Guzik,BUTTON
5367,Kolano,Kolano,KNEE
5368,Abuś,Arbuz,WATERMELON
5369,śimak,ślimak,SNAIL
5370,Sybko,Szybko,FAST
5371,Kocham ,Kocham,LOVE
5372,Kochanie,Kochanie,DARLING
5373,Jedzie,Jedzie,DRIVE
5374,śiąta,Sprząta,CLEANING
5375,Zielony,Zielony,GREEN
5376,Kojol,Kolor,COLOR
5377,Ciapka,Czapka,CAP
5378,Nioga,Noga ,LEG
5379,Siesdzialnia,Zjeżdżalnia,SLIDE
5380,Huśtawka,Huśtawka,SWING
5381,Lisek,Lisek,FOX
5382,Żiabka,Żabka,FROG
5383,Gzibki,Grzybki,MUSHROOM
5384,Plaśtelek,Plasterek,BAND-AID
5385,Klejka,Naklejka,STICKER
5386,Ćwiczyć,Ćwiczyć,PRACTICE
5387,Motoj,Motor,MOTORCYCLE
5388,Pojechal,Pojechał,DRIVE
5389,Idzie,Idzie,GO
5390,Duziom,Dużą,BIG
5391,Siukaj,Szukaj,SEARCHING
5392,Siukać,Szukać,SEARCHING
5393,Już,Już,NOW
5394,Teraz ,Teraz,NOW
5395,Abece,ABC,RHYME
5396,Szulka,Koszulka,T-SHIRT
5397,śiwki,śliwki,PLUM
5398,Cukinia,Cukinia,COURGETTE
5399,śtatek,Statek,SHIP
5400,Babcia,Babcia,GRANDMA
5401,Dziadek,Dziadek,GRANDPA
5402,Idą,Idą,GO
5403,Lisek,Lisek,FOX
5404,Nuś,NóŻ,KNIFE
5405,Domek,Domek,HOME
5406,śpziątamy,Sprzątamy,CLEANING
5407,Rysować,Rysować,DRAW
5408,Lisek,Lisek,FOX
5409,Popacz,Popatrz,LOOK
5410,Cimaj,Trzymaj,HOLDING
5411,Konik,Konik,HORSE
5412,śpacierek,Spacerek,STROLL
5413,Nienia,Do widzenia,GOOD-BYE
5414,Gofly,Gofry ,WAFFLE
5415,Fasiola,Fasola,BEAN
5416,Okuszek,Okruszek,CRUMB
5417,Loki,Loki,CURLS
5418,Włoncić,Włączyć,TURN-ON
5419,Sibko,Szybko,FAST
5420,Dalej,Dalej,FURTHER
5421,Isienki,Piosenki,SONG
5422,Jedzonko,Jedzonko,FOOD
5423,Doble,Dobre,GOOD
5424,Pojechał,Pojechał,DRIVE
5425,Smakuje,Smakuje,DELICIOUS
5426,Klejki,Naklejki,STICKER
5427,Halinka,Halinka,PERSON
5428,Aga,Aga,PERSON
5429,Agnieśka,Agnieszka,PERSON
5430,Emil,Emil,PERSON
5431,Wujek,Wujek,UNCLE
5432,Ciocia,Ciocia,AUNT
5433,Ziółty,Żółty,YELLOW
5434,Ciarny,Czarny ,BLACK
5435,Zupa,Zupa,SOUP
5436,Fasola,Fasola,BEAN
5437,Tlan,Kręć ,SPIN
5438,Mama,Mama,MOM
5439,Baba,Baba,GRANDMA
5440,Dziadzia,Dziadzia,GRANDPA
5441,Ja,Ja,SELF
5442,Tam,Tam,THERE
5443,Tu,Tu,HERE
5444,Kuku,Kuku,HURTS
5445,Pisu,Rysowanie ,DRAW
5446,Kum kum,Żabka ,FROG
5447,Ci ci ,Kotek,CAT
5448,Fe,Kupka,POOP
5449,AM AM ,Jedzenie,FOOD
5450,Papa,Papa,BYE
5451,Tak,Tak,YES
5452,Nie,Nie,NO
5453,Hauhau,Piesek,DOG
5454,Brum brum,Auto,CAR
5455,Mi,Miś,TEDDY-BEAR
5456,Nu nu,Nie,NO
5457,Nu,Noz ,KNIFE
5458,Tlon,Tron=nocnik,POTTY
5459,Pilo,Pilot,PILOT/REMOTE
5460,Sece,Serce,HEART
5461,Bawo,Brawo,BRAVO
5462,Kap kap,Deszcz,RAIN
5463,Ciocia,Ciocia,AUNT
5464,Ser,Ser,CHEESE
5465,Cycy,Piers,BREAST
5466,Kaczka,Kaczka,DUCK
5467,Kuku ,Kukułka ,CUCKOO
5468,Uhu,Sowa ,OWL
5469,Daj,Proszę ,PLEASE
5470,Plo,Pilot,PILOT/REMOTE
5471,Tan tan,"Piosenki, tanczenie",DANCE
5472,Tan tan,"Piosenki, tanczenie",SONG
5473,Bebi,Widelec,FORK
5474,Jesce,Jeszcze,MORE
5475,Mlam,Makaron,PASTA
5476,Dzidzi,Dziecko,BABY
5477,Dom,Dom,HOME
5478,Pi,Picie,DRINK
5479,Pija,Piłka,BALL
5480,Dinda,Winda,ELEVATOR
5481,Sam,Sam ,BY-MYSELF
5482,Pie,Pies,DOG
5483,Pi,Pij,DRINK
5484,Miś,Miś,TEDDY-BEAR
5485,Plucha,Pielucha,DIAPER
5486,O no,O nie,EXCLAMATION
5487,Pies,Pies,DOG
5488,Papla,Skarpetka,SOCK
5489,Aga,Uwaga,ATTENTION
5490,Mami,Mama,MOM
5491,Babi,Babcia,GRANDMA
5492,Sam,Sam,BY-MYSELF
5493,Dom,Dom,HOME
5494,Tań,Wstań,GET-UP
5495,Oko,Oko,EYE
5496,No,Nos,NOSE
5497,Jesce,Jeszcze,MORE
5498,Choś,Choddź ,COME
5499,Sieddź,Sieddź,SIT
5500,Miko,Mikołaj ,PERSON
5501,Plosze,Proszę ,PLEASE
5502,Kuje,Dziękuję ,THANK-YOU
5503,Kołaj,Mikołaj ,PERSON
5504,Mamuś,Mama,MOM
5505,Tatuś,Tata,DAD
5506,Jesce,Jeszcze,MORE
5507,Sieddź ,Sieddź ,SIT
5508,Picie,Picie,DRINK
5509,Kot,Kot,CAT
5510,Jes,Jeż ,HEDGEHOG
5511,Geś,Geś ,GOOSE
5512,Bok,Bąk,BUMBLE-BEE
5513,Pupa,Pupa,BOTTOM
5514,Buzia,Buzia,FACE
5515,Koka,Foka,SEAL
5516,Ningłim,Pingwin,PENGUIN
5517,Galnek,Garnek,POT
5518,Je,Je,EAT
5519,Łak,Rak,CRAWFISH
5520,Mama,Mama,MOM
5521,Miś,Miś,TEDDY-BEAR
5522,Tata,Tata,DAD
5523,Nie,Nie,NO
5524,Tak,Tak,YES
5525,Nie ma,Nie ma czegoś lub kogoś. Coś się skończyło.,GONE
5526,Tam,Tam. Chce iść tam. Pójddź ze mną tam.,THERE
5527,Muu,Krowa,COW
5528,Mieć,"śmieć, śmierci",GARBAGE-TRUCK
5529,Bam,"Coś upadło,, spadło. Ale też piłka. Odbijanie piłki",BAM
5530,Mocie,Smoczek,PACIFIER
5531,Noś,Nos,NOSE
5532,Oho,Oko,EYE
5533,Uhio,Ucho,EAR
5534,Bwi,Brwi,EYEBROWS
5535,Tu tu,Pociąg,TRAIN
5536,Tu tu,A kuku. W zabawie chowam się pod kocykiem wychodzę i wołam a kuku.,PEEKABOO
5537,Pi,śpi,SLEEPING
5538,Bum bum,"Samochód, jedzie",CAR
5539,Bum bum,"Samochód, jedzie",DRIVE
5540,Mo,Motyl,BUTTERFLY
5541,świ,świnia,PIG
5542,Miau,Kotek,CAT
5543,Hau hau,Pies,DOG
5544,Buti,Buty,SHOES
5545,Uhu,Sowa,OWL
5546,Iha,Koń,HORSE
5547,Mee,Owca,SHEEP
5548,Ba,Balon,BALLOON
5549,Bzi bzi,Pszczoła,BEE
5550,Pepek,Pępek,NAVEL
5551,Mokłe,Mokre,WET
5552,Tot,Kot,CAT
5553,Toń,Koń,HORSE
5554,Op op,Hop hop podskakiwać,HOP
5555,Oć,Choddź,COME
5556,Tań,Wstań,GET-UP
5557,Fieci,świeci,SHINE
5558,Pieś,Pies,DOG
5559,Maja,Maja,PERSON
5560,Mika,Myszka,MOUSE
5561,Oć,Choddź ze mną,COME
5562,Milka,Emilka,PERSON
5563,Oć,Choddź,COME
5564,Tań,Wstań,GET-UP
5565,Tok,Kot,CAT
5566,Maka,Małpka,MONKEY
5567,Jeś,Jeż,HEDGEHOG
5568,Pam,Pan,MAN
5569,Moje,Moje,MY
5570,Dziaba,Żaba,FROG
5571,Bam,Spadło,BAM
5572,Kupa,Kupa,POOP
5573,Buka,Bułka,BUN
5574,Łoda,Woda,WATER
5575,Je,"Je, np tata je",EAT
5576,Meko,Mleko,MILK
5577,Buti,Buty,SHOES
5578,Ciapa,Czapka,CAP
5579,Fieci,świeci,SHINE
5580,Nika,Choinka,CHRISTMAS-TREE
5581,Niek,śnieg,SNOW
5582,Tu tu,Słoń,ELEPHANT
5583,Kic kic,Zając,RABBIT
5584,Topa,Stopa,FEET
5585,Nogia,Noga,LEG
5586,Olo,Olek,PERSON
5587,Tosi,Tosia,PERSON
5588,Inka,Choinka,CHRISTMAS-TREE
5589,Batka,Herbatka,TEA
5590,Pić,"Pić, chcę pić",DRINK
5591,Pałeł,Paweł,PERSON
5592,Dita,Edyta,PERSON
5593,Tosi,Tosia,PERSON
5594,Pinie,Płynie,SWIM
5595,Noga,Hulajnoga,SCOOTER
5596,Ławo,Brawo,BRAVO
5597,Piku piku,Pyk pyk,POP
5598,Bune,Brudne,DIRTY
5599,Bisia,Gabrysia,PERSON
5600,Nie ma,Nie ma,GONE
5601,Dzieci,"Dzieci, dziecko, żłobek",CHILDREN;CHILD;NURSERY
5602,Tutaj,Tutaj,HERE
5603,Jeż,Jeż,HEDGEHOG
5604,Buła,Bulka,BUN
5605,Tuta,Pociąg,TRAIN
5606,Baba.,Babcia,GRANDMA
5607,Baba,żaba,FROG
5608,Huha,Sowa,OWL
5609,Jeszcze,Jeszcze,MORE
5610,Mi,Miś,TEDDY-BEAR
5611,My,Mysz,MOUSE
5612,Pupa,Pupa,BOTTOM
5613,Tam,Tam,THERE
5614,Jesze,Jeszcze,MORE
5615,Hau hau,Pies,DOG
5616,Tata,Tata,DAD
5617,Miau,Kot,CAT
5618,Beeee beeee,Owca,SHEEP
5619,Meee meeee,Koza,GOAT
5620,A a a,Małpa,MONKEY
5621,Muuuuu,Krowa,COW
5622,Tu tu tu,Słoń,ELEPHANT
5623,Bum bum,Auto,CAR
5624,Tik ta,Zegar,CLOCK
5625,Mama,Mama,MOM
5626,Hu hu,Sowa,OWL
5627,O-o,Coś się stało,OH
5628,Aaaa,Ryczeć,ROAR
5629,Aaaaa,Lew,LION
5630,Szu szu,Miotła,BROOM
5631,Tu tu,Pociąg,TRAIN
5632,Łaaaaaa,Podziw,WOW
5633,Io io,Karetka,AMBULANCE
5634,Kokoko,Kura,HEN
5635,Nie,Nie,NO
5636,Mniam,Jedzenie,FOOD
5637,Paa paa,Picie mleka,DRINK;MILK
5638,Bam,Upadek,BAM
5639,Ty,Określenie na niego samego,ME
5640,To,To,THIS
5641,Oko,Oko,EYE
5642,Pi pi pi,Mysz,MOUSE
5643,Nie ma,Nie ma,GONE
5644,Tam,Tam,THERE
5645,Zupa,Zupa,SOUP
5646,Fa fa,żyrafa,GIRAFFE
5647,Kaszka,"śniadanie, kaszka",BREAKFAST;GROATS
5648,żaba,żaba,FROG
5649,Tak,Tak,YES
5650,Koń,Koń,HORSE
5651,Pa pa,Do widzenia,BYE
5652,Uuu,Lecący samolot,PLANE
5653,Ja,Na siebie,ME
5654,Koło,Koło ,CIRCLE
5655,Koke,Kotek,CAT
5656,Tutu,Słoń ,ELEPHANT
5657,Mijo,Misio,TEDDY-BEAR
5658,Buła,Buzia,FACE
5659,Ciacia,Ciach ciach,CUTTING
5660,Kaja,Kawa,COFFEE
5661,Koji,Mleko ,MILK
5662,Biba,Ryba,FISH
5663,Kołka,Sikorka,TIT
5664,Cita,Czyta,READ
5665,Pape,Pastę (do zębów) ,TOOTH-PASTE
5666,Tam,Tam,THERE
5667,Banana,Banana (chcę) ,BANANA
5668,Aja,Franek - brat,SIBLING
5669,Gumka,Gumka,HAIRBAND
5670,Czeć,Cześć ,HI
5671,Mama,Mama,MOM
5672,Tata,Tata,DAD
5673,Baba,Babcia,GRANDMA
5674,Dziedzia,Dziadziuś ,GRANDPA
5675,Ama,Jedzenie ,FOOD
5676,Ma,Masz,HAVE
5677,Kra kra,Kra kra,CROW
5678,Ucha,Ucho,EAR
5679,Cieci,świeci,SHINE
5680,Zzz,Owad (bzyczacy) mucha lub biedronka,FLY
5681,Zzz,Owad (bzyczacy) mucha lub biedronka,INSECT
5682,Zzz,Owad (bzyczacy) mucha lub biedronka,LADYBUG
5683,Koja,Okulary,GLASSES
5684,Ne,Nie,NO
5685,Ta,Tak,YES
5686,Baba,Żaba ,FROG
5687,Opa,Opa (skakać lub do góry) ,JUMP
5688,Opa,Opa (skakać lub do góry) ,UP
5689,Ciu ciu,Pociąg ,TRAIN
5690,Sece,Serce,HEART
5691,Bambam,Piłka ,BALL
5692,Ne ma,Nie ma,GONE
5693,Sej,Ser,CHEESE
5694,Genka,Grażynka (nasz odkurzacz) ,OBJECT
5695,Top,Stop,STOP
5696,Oć,Choddź ,COME
5697,Sońce,Słońce ,SUN
5698,Tuptup,Tuptup,STOMPING
5699,Benc,Bęc,BAM
5700,Badza,Baza,BASE
5701,Pampa,Pompa,PUMP
5702,Kapka,Czapka ,CAP
5703,Inka,Choinka,CHRISTMAS-TREE
5704,Kok,Kot,CAT
5705,Mać,Masz,HAVE
5706,Goja,Gorące ,HOT
5707,Monie,Mokre,WET
5708,Sońce,Słońce ,SUN
5709,Jiba,Ryba,FISH
5710,Dzieńcio,Dzięcioł ,WOODPECKER
5711,Dua,Duża ,BIG
5712,Kukuk,Kogut,COCK
5713,Pempem,Pępek,NAVEL
5714,Sponie,Spodnie ,TROUSERS
5715,Dżem ,Dżem ,JAM
5716,Kapka,Skarpetki ,SOCK
5717,Mone,Mokre,WET
5718,Pacy,W pracy,WORK
5719,Enka,Ręka ,HAND
5720,Uczy,Uszy,EARS
5721,Popkom,Popcorn,POPCORN
5722,Dzi,Drzwi,DOOR
5723,Goja,Golas,NAKED
5724,Dzidziuś ,Dzidziuś,BABY
5725,Cioło,Czoło ,FOREHEAD
5726,Pecy,Plecy,BACK
5727,Moka,Mokra,WET
5728,Kopkoj,Popcorn ,POPCORN
5729,Mój ,Ja (kto to zrobił?) ,SELF
5730,Top,Stop,STOP
5731,Pimpin,Pingwin ,PENGUIN
5732,Muke,Malutkie,SMALL
5733,Ciupu,Ketchup,KETCHUP
5734,Keje,Kleję się ,STICKY
5735,Tole,Na stole,TABLE
5736,Koj,Koń ,HORSE
5737,Tato,Traktor,TRACTOR
5738,Kukukuku,Kukuryku ,COCK
5739,Dzieło,Drzewo,TREE
5740,Dajej,Dalej,FURTHER
5741,Kem,Krem,CREAM
5742,Meko,Mleko,MILK
5743,Samos,Samolot ,PLANE
5744,Gojas,Golas ,NAKED
5745,Kopa,Koparka,EXCAVATOR
5746,Meko,Mleko,MILK
5747,Pute,Puste,EMPTY
5748,Siukam,Szukam,SEARCHING
5749,Puczaj,Puszczaj,LET-GO
5750,O bodze,O Boże ,EXCLAMATION
5751,Sepsuł sie,Zepsuł się ,BROKEN
5752,Samos ,Samolot,PLANE
5753,Kakać,Skakać ,JUMP
5754,Menko,Mydełko ,SOAP
5755,Ciepo,Ciepło ,WARM
5756,Koć,Koc,BLANKET
5757,Jeś,Jest,TO-BE
5758,Dziaba,Żaba ,FROG
5759,Patyk,Patyk,STICK
5760,Dżebyk,Grzebyk,COMB
5761,Moco,Mocno,HARD
5762,Bonk,Bąk,BUMBLE-BEE
5763,Ołoć,Owoc,FRUIT
5764,Piesek,Piesek,DOG
5765,Ogon,Ogon,TAIL
5766,Dluki,Drugi,ANOTHER
5767,Odaj,Oddaj,GIVE-BACK
5768,Mucha,Mucha ,FLY
5769,Sinka,świnka ,PIG
5770,Mece,Miejsce,PLACE
5771,Fjanek,Franek,PERSON
5772,Wonczy,Włączy ,TURN-ON
5773,Nego,Innego,OTHER
5774,Koń,Koń,HORSE
5775,Ziaba,Żaba,FROG
5776,Baba,"Babcia, baba",GRANDMA
5777,Mama,Mama,MOM
5778,Pacek,Postać z bajki o imieniu Pacek,CHARACTER
5779,Woda,Woda,WATER
5780,Mleko,Mleko,MILK
5781,Kawa,Kawa,COFFEE
5782,Amen,Amen,AMEN
5783,Amen,Amen,AMEN
5784,Ania,Hania,PERSON
5785,Ania,Hania,PERSON
5786,Argo,Pies o imieniu Argo,PET
5787,Argo,Pies o imieniu Argo,PET
5788,Bobo,"Dziecko, na ogół w wózku",BABY
5789,Bobo,"Dziecko, na ogół w wózku",BABY
5790,Bozia,Matka Boska,MOTHER-OF-GOD
5791,Bozia,Matka Boska,MOTHER-OF-GOD
5792,Buma,Auto,CAR
5793,Buma,Auto,CAR
5794,Kombajn,Kombajn,HARVESTER
5795,Kombajn,Kombajn,HARVESTER
5796,Koparka,Koparka,EXCAVATOR
5797,Koparka,Koparka,EXCAVATOR
5798,Kurza,Odkurzacz,VACUUM-CLEANER
5799,Kurza,Odkurzacz,VACUUM-CLEANER
5800,Mini,Mysz,MOUSE
5801,Mini,Mysz,MOUSE
5802,Palulu,Iść spać,SLEEPING
5803,Palulu,Iść spać,SLEEPING
5804,Pan,"Pan, mężczyzna",MAN
5805,Pan,"Pan, mężczyzna",MAN
5806,Omik,Chomik,HAMSTER
5807,Dobre,Dobre,GOOD
5808,Spoko,Spoko,COOL
5809,Koniek,Koniec,END 
5810,Ciocia,Ciocia,AUNT
5811,Spinka,Spinka,HAIR-CLIP
5812,Kamyk,Kamyk,STONE
5813,Mango,Mango,MANGO
5814,Marta,Marta,PERSON
5815,Ogon,Ogon,TAIL
5816,Dziadek,Dziadek,GRANDPA
5817,Kapusta,Kapusta,CABBAGE
5818,Pilot,Pilot,PILOT/REMOTE
5819,Kukuryku,Kogut,COCK
5820,Pociąg,Pociąg,TRAIN
5821,Maria,Maria,PERSON
5822,Martusia,Martusia.,PERSON
5823,Koło,Koło,CIRCLE
5824,Tukan ,Tukan,TOUCAN
5825,Tukan,Tukan,TOUCAN
5826,Golak,Golas,NAKED
5827,Polka,Polska,POLAND
5828,Owsianka,Owsianka,OATMEAL
5829,Kasia,Kasia,PERSON
5830,Zosia,Zosia,PERSON
5831,Kotyk,Kocyk,BLANKET
5832,Budu,Poduszka,PILLOW
5833,Piłka,Piłka,BALL
5834,Owsianka,Owsianka,OATMEAL
5835,Takto,Traktor,TRACTOR
5836,Piłka,Piłka,BALL
5837,Asystent,Asystent,ASSISTANT
5838,Pianka,Pianka,FOAM
5839,Sos,Sos,SAUCE
5840,Stolec,Stolec,POOP
5841,Hau,Pies,DOG
5842,Tata,Różne znaczenia ,
5843,Am,"Jeść, pić",DRINK
5844,Am,"Jeść, pić",EAT
5845,Auto,"Auto, koło",CAR
5846,Auto,"Auto, koło",WHEEL
5847,Miau,"Kot, miau",CAT
5848,Mama,Mama,MOM
5849,Bam,Upadek niego lub czegoś ,BAM
5850,Tuty,Buty,SHOES
5851,I-haa,"Rżenie konia, koń",HORSE
5852,Cici,"Kici, kicia",CAT
5853,Nie,Nie chcę,DONT-WANT
5854,Au,"Auć, boli",HURTS
5855,Apa,"Do góry, na ręce ",UP
5856,Baba,Babcia,GRANDMA
5857,Tutu,"Turtur, traktor",TRACTOR
5858,Taaaaa,Tak,YES
5859,Ten,Ten,THIS
5860,To,To,THIS
5861,Tet,Cześć,HI
5862,Be,Cos nie jest dla niego ,DISGUSTING
5863,Tintin,Ting (zabawka),TOY
5864,Bee,Ddźwięk owcy,SHEEP
5865,Mee,Koza,GOAT
5866,Raaaa,Ddźwięk wydawany przez lwa,LION
5867,Tute,Klucze,KEY
5868,Kuko,Kółko,CIRCLE
5869,Pupa,"Pupa, kupa",BOTTOM
5870,Pupa,"Pupa, kupa",POOP
5871,Tam,Chcę tam,THERE
5872,Azia,Pies Aza,PET
5873,Chr chr,Naśladowanie świni ,PIG
5874,Buuum,"Brum, samochod jedzie",CAR
5875,Bana,Banan,BANANA
5876,Emu,Emu,EMU
5877,Ati,A-psik,SNEEZE
5878,Dodo,Dodo,BIRD
5879,Maa?,Nie ma,GONE
5880,Jeee,Jest,TO-BE
5881,IO IO ,Pojazd uprzywilejowany,AMBULANCE
5882,IO IO ,Pojazd uprzywilejowany,FIRE-BRIGADE
5883,IO IO ,Pojazd uprzywilejowany,POLICE
5884,Hao,"Halo, rozmowa przez telefon",HELLO
5885,Muuu,Muczenie krowy,COW
5886,Tu,Tutaj,HERE
5887,Den,Dzięki,THANK-YOU
5888,Noo,Nos,NOSE
5889,Oko,Oko,EYE
5890,Puuu,Piciu,DRINK
5891,Tita,Kicia ,CAT
5892,Uhu ha,Sowa,OWL
5893,Pwwww,Naśladowanie słonia,ELEPHANT
5894,Mniam,Jedzenie,FOOD
5895,Hee hee,Hej hej,HI
5896,Łał,Wow,WOW
5897,O-oł,Coś niespodziewanego albo niechcianego się wydarzylo,EXCLAMATION
5898,Mhm,"Zgoda, potakiwanie",YES
5899,Buty,Buty,SHOES
5900,Cycy,Chcę mleko z piersi,BREAST
5901,Eme,Elmer,PERSON
5902,Bazia,"Baza, zbuduj bazę",BASE
5903,Atutu,Akuku,PEEKABOO
5904,Apaja,Alpaka,ALPACA
5905,Baja,"Bajka, ksiazeczka",BOOK
5906,Baja,"Bajka, ksiazeczka",TALE
5907,Baje,Bajka,TALE
5908,Bało,Brawo,BRAVO
5909,Basia,Basia,PERSON
5910,Bawo,Brawo,BRAVO
5911,Bjus,Bruce,PERSON
5912,Boli,Boli,HURTS
5913,Bua,"Buła, bułka",BUN
5914,Busia,"Libusia, kot",PET
5915,Chap,"Chapnięcie, ddźwięk krokodyla",CROCODILE
5916,Choć,Choddź,COME
5917,Cy,Trzy,THREE
5918,Daj,Daj,GIVE
5919,Denś,Dance,DANCE
5920,Djugi,Drugi,ANOTHER
5921,Dła,Dwa,TWO
5922,Dlugie,Drugie,ANOTHER
5923,Dziś,Widzisz,SEE
5924,Je,Je,EAT
5925,Jejen,Jeden,ONE
5926,Lala,Lalka,DOLL
5927,Łaś,Zładź,GET-OFF
5928,Lesi,Leci,FLYING
5929,Maja,Maja,PERSON
5930,Miś,Miś,TEDDY-BEAR
5931,Nie ma ,Nie ma,GONE
5932,No,"No, potwierdzenie ",YES
5933,Nos,Nos,NOSE
5934,O bozie,O boże,EXCLAMATION
5935,Oć,Choddź ,COME
5936,Ogom,Ogon,TAIL
5937,Ojej,Ojej,EXCLAMATION
5938,Okej,Ok,OK
5939,Pało,Spadło ,FALLING
5940,Pam,"Pan, ludzik z lego",MAN
5941,Panie,Pranie,WASH
5942,Pap,Pas,BELT
5943,Pempeta,Pampersa,DIAPER
5944,Pepa,świnka pepa,CHARACTER
5945,Pes,Pies,DOG
5946,Piciu,Pić,DRINK
5947,Pisiu,Długopis ,PEN
5948,Pucio,Pucio,CHARACTER
5949,Pupo,Pusto,EMPTY
5950,Siesi,Siedzi,SIT
5951,Tach,"Ciach, krojenie",CUTTING
5952,Taki,Ptaki,BIRD
5953,Teta,Rakieta tenisowa,TENNIS-RACKET
5954,Teti,Kredki,CRAYONS
5955,Tłi,"Kwi, świnka",PIG
5956,Toty,Koty,CAT
5957,Ucho,Ucho,EAR
5958,Toniec,Koniec,END 
5959,Pugek,Kubek,CUP
5960,Jyba,Ryba,FISH
5961,Kekin,Rekin,SHARK
5962,Asia,Ajsza,PERSON
5963,Babo,Babo,
5964,Cieść,Cześć ,HI
5965,Citaj,Czytaj,READ
5966,Dom,Dom,HOME
5967,Duzi,Duży,BIG
5968,Dziuha,Dziura,HOLE
5969,Jedzie,Jedzie,DRIVE
5970,Jeść,Jeść,EAT
5971,Jesie,Jeszcze,MORE
5972,Kum kum,"Kum kum, ddźwięk żaby",FROG
5973,Leci,Leci,FLYING
5974,Ojuś,"Oluś, on sam",SELF
5975,Sisi,Siku,PEE
5976,Tot,Kot,CAT
5977,Abobus,Autobus,BUS
5978,Bałić,Bawić,PLAY
5979,Bep,Chleb ,BREAD
5980,Biega,Biega,RUNNING
5981,Buch,Brzuch,BELLY
5982,Buła,Bułka ,BUN
5983,Dach,Dach,ROOF
5984,Dany,Danny,PERSON
5985,Delec,Widelec,FORK
5986,Dizom,"Bizon, imię kotki",PET
5987,Dom aut,Dom dla aut,GARAGE
5988,Dusia,Poduszka,PILLOW
5989,Dziorddź,George,PERSON
5990,Gra,Gra,GAME
5991,Gurek,Kangurek,KANGAROO
5992,Isiu,Misiu ,TEDDY-BEAR
5993,Kocyś,Kocyk,BLANKET
5994,Łaga,Uwaga ,ATTENTION
5995,Lisek,Lisek,FOX
5996,Łołom,Samolot,PLANE
5997,Łucham,Słucham,LISTEN
5998,Lulu,Spanie,SLEEP
5999,Łysia,Łyżka,SPOON
6000,Pać,Spać,SLEEP
6001,Pacici,Rekawiczki,GLOVE
6002,Pacie,Kapcie,SLIPPERS
6003,Paka,Czapka,CAP
6004,Pan ,Pan,MAN
6005,Pani,Pani ,LADY
6006,Parka,Koparka,EXCAVATOR
6007,Pas,Pas,BELT
6008,Pasiam,Przepraszam,SORRY
6009,Posie,Proszę,PLEASE
6010,Pytaj,Patataj,HORSE
6011,Tijot,Pilot,PILOT/REMOTE
6012,Tjatoj,Traktor,TRACTOR
6013,Tonik,Konik,HORSE
6014,Uje,Umyje,WASH
6015,Usia,"Olusia, coś jest jego",SELF
6016,Nie da,"Nie da się, nie wyszło ",CANT
6017,Górek,Ogórek,CUCUMBER
6018,Basen,Basen,SWIMMING-POOL
6019,Osiem,Osiem,EIGHT
6020,Cicho,Cicho,QUIET
6021,Memy,Zęby,TEETH
6022,Umyć ,Umyć,WASH
6023,Najać ,Nalać,POUR
6024,Totek,Kotek,CAT
6025,Imak,ślimak,SNAIL
6026,Dziemy,Idziemy,GO
6027,Do icy,Do piaskownicy,SANDBOX
6028,Bjudne,Brudne,DIRTY
6029,Umyć,Umyć,WASH
6030,Najać,Nalać,POUR
6031,Dej,Daj,GIVE
